Nombre,Tipo,Descripción,Rango / valores,Unidad,Importancia,Posibles valores atípicos,Observaciones
diagnosis,categórica nominal,Variable objetivo: diagnóstico histopatológico codificado como maligno o benigno.,"malignant, benign",categoría clínica,Crítica,No aplica; se valida consistencia de etiquetas.,Es la variable de referencia para segmentar el análisis estadístico.
compactness error,numérica continua,Error estándar de relación de compacidad calculada como perímetro al cuadrado sobre área menos uno.,0.002252 a 0.1354,índice adimensional,Exploratoria,"28 casos (4.9%) fuera de [-0.016, 0.0615] por regla IQR.",mayor en maligno; |d|=0.63; asimetría marcada.
concavity error,numérica continua,Error estándar de severidad de porciones cóncavas del contorno.,0 a 0.396,índice adimensional,Exploratoria,"22 casos (3.9%) fuera de [-0.0253, 0.0825] por regla IQR.",mayor en maligno; |d|=0.54; asimetría marcada.
concave points error,numérica continua,Error estándar de cantidad relativa de puntos cóncavos del contorno.,0 a 0.05279,índice adimensional,Media,"19 casos (3.3%) fuera de [-0.00297, 0.0253] por regla IQR.",mayor en maligno; |d|=0.92; asimetría marcada.
symmetry error,numérica continua,Error estándar de grado de simetría de la estructura celular.,0.007882 a 0.07895,índice adimensional,Exploratoria,"27 casos (4.7%) fuera de [0.00268, 0.036] por regla IQR.",mayor en benigno; |d|=0.01; asimetría marcada.
fractal dimension error,numérica continua,Error estándar de aproximación de complejidad del contorno celular.,0.0008948 a 0.02984,índice adimensional,Exploratoria,"28 casos (4.9%) fuera de [-0.00122, 0.00802] por regla IQR.",mayor en maligno; |d|=0.16; asimetría marcada.
worst radius,numérica continua,Peor valor de distancia media desde el centro hasta puntos del perímetro celular.,7.93 a 36.04,unidades de imagen,Muy alta,"17 casos (3.0%) fuera de [4.34, 27.5] por regla IQR.",mayor en maligno; |d|=2.54; asimetría marcada.
worst texture,numérica continua,Peor valor de variabilidad de la intensidad de gris en la imagen.,12.02 a 49.54,desviación estándar de niveles de gris,Media,"5 casos (0.9%) fuera de [8.12, 42.7] por regla IQR.",mayor en maligno; |d|=1.06; distribución relativamente estable.
worst perimeter,numérica continua,Peor valor de longitud del contorno de la masa celular.,50.41 a 251.2,unidades de imagen,Muy alta,"15 casos (2.6%) fuera de [22.2, 187] por regla IQR.",mayor en maligno; |d|=2.60; asimetría marcada.
worst area,numérica continua,Peor valor de superficie proyectada de la masa celular.,185.2 a 4254,unidades cuadradas de imagen,Muy alta,"35 casos (6.2%) fuera de [-338, 1.94e+03] por regla IQR.",mayor en maligno; |d|=2.23; asimetría marcada.
worst smoothness,numérica continua,Peor valor de variación local de longitudes de radio.,0.07117 a 0.2226,índice adimensional,Media,"7 casos (1.2%) fuera de [0.0725, 0.19] por regla IQR.",mayor en maligno; |d|=0.96; distribución relativamente estable.
worst compactness,numérica continua,Peor valor de relación de compacidad calculada como perímetro al cuadrado sobre área menos uno.,0.02729 a 1.058,índice adimensional,Alta,"16 casos (2.8%) fuera de [-0.141, 0.627] por regla IQR.",mayor en maligno; |d|=1.51; asimetría marcada.
worst concavity,numérica continua,Peor valor de severidad de porciones cóncavas del contorno.,0 a 1.252,índice adimensional,Alta,"12 casos (2.1%) fuera de [-0.288, 0.786] por regla IQR.",mayor en maligno; |d|=1.81; asimetría marcada.
worst concave points,numérica continua,Peor valor de cantidad relativa de puntos cóncavos del contorno.,0 a 0.291,índice adimensional,Muy alta,"0 casos (0.0%) fuera de [-0.0798, 0.306] por regla IQR.",mayor en maligno; |d|=2.69; distribución relativamente estable.
worst symmetry,numérica continua,Peor valor de grado de simetría de la estructura celular.,0.1565 a 0.6638,índice adimensional,Media,"23 casos (4.0%) fuera de [0.149, 0.419] por regla IQR.",mayor en maligno; |d|=0.95; asimetría marcada.
worst fractal dimension,numérica continua,Peor valor de aproximación de complejidad del contorno celular.,0.05504 a 0.2075,índice adimensional,Media,"24 casos (4.2%) fuera de [0.0405, 0.123] por regla IQR.",mayor en maligno; |d|=0.71; asimetría marcada.
